Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_quality_start,p_run_support,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
Ángel Zerpa*,25,KCR,AL,0.3,5,2,0.714,4.18,69,2,4,0,0,0,64.2,67,30,30,7,22,0,58,2,1,1,275,99.0,3.86,1.376,9.3,1.0,3.1,8.1,2.64,nan,zerpaan01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Schreiber,31,KCR,AL,0.4,3,3,0.5,3.8,74,0,8,0,0,1,64.0,57,29,27,10,19,1,62,1,0,2,265,108.0,4.17,1.188,8.0,1.4,2.7,8.7,3.26,nan,schrejo01,670167.0,2023.0,29.0,48.8,45.88,192.6,171.6,39.0,24.8,9.2,1.0,4.0,48.0,16.8,27.44,8.7,0.2482,0.3886,0.3214,0.71,0.1404,0.3444,17.0,18.8,2.4,2.4,138.2,2.6,2.2,1.6,0.0,0.0,3.308,,,0.4,0.0,24.2,0.2346,0.346,0.3106,0.2948,0.3114,0.1116,71.2,19.6333333333,13.6666666667,10.9666666667,31.3333333333,25.1,7.13333333333,5.66666666667,7.7,1.26666666667,47.0,33.1333333333,88.42,11.6,32.2,4.96,42.22,77.0262144396,94.3908908966,25.22,45.68
Cole Ragans*,27,KCR,AL,0.2,3,3,0.5,4.67,13,13,0,0,0,0,61.2,53,33,32,7,20,0,98,2,0,3,257,88.0,2.5,1.184,7.7,1.0,2.9,14.3,4.9,nan,raganco01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Erceg,30,KCR,AL,1.5,8,4,0.667,2.64,61,0,10,0,0,2,61.1,54,19,18,4,18,3,48,4,0,3,249,156.0,3.49,1.174,7.9,0.6,2.6,7.0,2.67,nan,erceglu01,668674.0,2024.0,29.0,57.3333333333,59.1,251.0,222.0,51.3333333333,35.3333333333,12.3333333333,1.0,2.66666666667,62.6666666667,23.3333333333,24.9666666667,9.26666666667,0.231666666667,0.332666666667,0.319,0.651666666667,0.101,0.312666666667,23.3333333333,26.0,5.33333333333,4.0,178.0,4.66666666667,4.66666666667,4.33333333333,0.333333333333,0.0,3.58333333333,,,1.0,0.0,29.3333333333,0.224333333333,0.345,0.29,0.294666666667,0.313333333333,0.121333333333,71.1,21.0,11.4666666667,8.6,29.5666666667,22.0666666667,7.2,6.66666666667,8.4,0.833333333333,42.1333333333,33.1666666667,87.0,7.56666666667,31.1,6.66666666667,34.6666666667,75.3919570797,93.3295677343,28.0333333333,45.9333333333
Taylor Clarke,32,KCR,AL,1.0,1,1,0.5,3.25,51,0,15,0,0,1,55.1,38,20,20,8,9,0,44,1,0,5,206,127.0,3.97,0.849,6.2,1.3,1.5,7.2,4.89,nan,clarkta01,664199.0,2022.75,29.75,49.75,51.55,217.25,200.25,52.75,34.0,10.25,1.0,7.5,49.0,13.75,22.375,6.125,0.262,0.43325,0.30875,0.742,0.17125,0.31025,26.25,28.75,1.75,2.5,155.0,2.0,2.75,3.25,0.0,0.0,4.555,,,1.5,0.0,17.5,0.24275,0.4275,0.318,0.31025,0.29325,0.18475,71.7,24.5,12.4,9.45,31.75,24.2,7.45,6.5,12.55,-4.95,59.8,32.6,90.075,17.075,34.1,8.65,41.175,79.8297080533,94.4419340735,24.725,50.725
Steven Cruz,26,KCR,AL,0.4,3,1,0.75,3.74,47,0,9,0,0,0,45.2,36,20,19,5,18,1,38,1,0,1,189,110.0,4.14,1.182,7.1,1.0,3.5,7.5,2.11,nan,cruzst01,674444.0,2024.0,25.0,20.6666666667,20.8666666667,89.6666666667,79.0,16.0,10.0,3.66666666667,0.333333333333,2.0,19.0,9.66666666667,22.1666666667,9.06666666667,0.163,0.266333333333,0.239333333333,0.505666666667,0.103333333333,0.203,8.66666666667,9.0,0.0,0.0,64.0,1.0,0.333333333333,1.0,0.0,0.0,2.90333333333,,,0.333333333333,0.0,14.3333333333,0.194333333333,0.322333333333,0.224333333333,0.264333333333,0.272,0.128,70.8333333333,17.4666666667,10.3,8.06666666667,34.4,27.1,7.06666666667,3.33333333333,7.1,3.5,44.4,32.6666666667,90.6,14.9666666667,31.5666666667,4.63333333333,41.3666666667,81.7726280287,94.163670194,24.1,48.1
Jonathan Bowlan,28,KCR,AL,0.2,1,2,0.333,3.86,34,1,7,0,0,0,44.1,37,21,19,6,17,0,46,0,0,1,180,107.0,3.97,1.218,7.5,1.2,3.5,9.3,2.71,nan,bowlajo01,680742.0,2024.0,27.0,12.3333333333,16.4333333333,70.3333333333,63.0,16.0,9.66666666667,3.0,0.0,3.33333333333,17.3333333333,6.66666666667,21.5333333333,9.0,0.338666666667,0.68,0.396,1.076,0.341333333333,0.352333333333,8.0,8.66666666667,0.0,0.0,50.0,0.333333333333,1.33333333333,0.333333333333,0.0,0.0,6.78666666667,,,1.0,0.0,7.0,0.264333333333,0.463,0.446333333333,0.345,0.331666666667,0.199,71.4,17.0333333333,15.2,10.3,30.8666666667,21.1,7.26666666667,3.33333333333,8.83333333333,0.633333333333,55.2,32.2666666667,85.5666666667,15.3666666667,38.1333333333,9.2,30.4666666667,74.1357376053,93.0193688383,31.7666666667,51.3666666667
Sam Long*,29,KCR,AL,-0.7,2,3,0.4,5.36,39,0,19,0,0,0,40.1,48,31,24,7,22,1,33,2,0,5,189,77.0,5.54,1.736,10.7,1.6,4.9,7.4,1.5,nan,longsa01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Hatch,30,KCR,AL,-0.1,0,0,,18.0,1,0,1,0,0,0,1.0,2,2,2,1,0,0,1,0,0,0,5,31.0,14.14,2.0,18.0,9.0,0.0,9.0,,nan,hatchto01,641672.0,2022.75,27.75,8.5,18.875,88.0,77.25,24.0,15.0,5.5,0.0,3.5,15.0,9.25,16.975,10.375,0.34975,0.6205,0.4285,1.049,0.27075,0.38875,13.0,14.5,0.0,0.25,57.5,0.75,1.0,1.0,0.0,0.0,8.985,,,2.0,0.0,11.0,0.292,0.5005,0.44425,0.37725,0.37725,0.209,72.3,26.45,14.5,11.4,32.9,25.8,7.55,3.0,12.35,-4.9,56.4,33.4,90.625,13.825,34.575,9.925,50.65,80.2986517535,95.2998981568,21.225,50.875
Chris Stratton,34,KCR,AL,-0.4,0,0,,7.94,12,0,7,0,0,0,17.0,29,17,15,2,8,0,16,0,0,0,87,53.0,4.19,2.176,15.4,1.1,4.2,8.5,2.0,nan,stratch01,608717.0,2023.0,32.0,52.8,60.7,263.0,231.4,59.2,40.0,11.6,1.6,6.0,58.6,25.2,21.86,9.72,0.2694,0.4226,0.3404,0.763,0.1532,0.3252,30.4,33.0,3.0,3.0,182.8,4.6,1.8,2.6,0.0,0.0,5.014,,,2.8,0.0,31.2,0.2426,0.411,0.3298,0.3214,0.3208,0.1684,71.6333333333,22.0666666667,15.8,12.2333333333,35.6333333333,27.6666666667,7.33333333333,4.0,9.23333333333,-0.166666666667,54.5666666667,32.2666666667,88.56,12.8,34.58,7.82,38.22,77.6997261084,93.8535363124,24.94,46.24
Evan Sisk*,28,KCR,AL,0.1,0,0,,1.69,5,0,1,0,0,0,5.1,5,1,1,0,5,0,11,0,1,1,26,260.0,1.82,1.875,8.4,0.0,8.4,18.6,2.2,nan,siskev01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luinder Avila,23,KCR,AL,0.4,1,1,0.5,1.29,13,0,9,0,0,0,14.0,7,2,2,0,6,0,16,0,0,0,56,327.0,2.14,0.929,4.5,0.0,3.9,10.3,2.67,nan,avilalu02,679883.0,2025.0,23.0,13.0,14.0,56.0,49.0,7.0,4.0,3.0,0.0,0.0,16.0,6.0,28.6,10.7,0.143,0.204,0.232,0.436,0.061,0.206,2.0,2.0,0.0,0.0,42.0,1.0,1.0,0.0,0.0,0.0,1.29,,,1.0,0.0,11.0,0.164,0.222,0.204,0.226,0.255,0.057,72.4,23.1,6.6,5.1,23.0,17.9,7.4,5.0,12.3,-5.8,52.6,32.7,86.9,11.3,35.3,2.9,29.4,78.689327059,91.625586471,29.1,47.5
Andrew Hoffmann,25,KCR,AL,-0.2,0,0,,3.86,3,0,2,0,0,0,4.2,7,6,2,1,4,0,5,0,0,1,26,115.0,6.35,2.357,13.5,1.9,7.7,9.6,1.25,nan,hoffman01,694851.0,2025.0,25.0,11.0,12.0,61.0,51.0,14.0,7.0,5.0,0.0,2.0,12.0,10.0,19.7,16.4,0.275,0.49,0.393,0.883,0.215,0.324,8.0,12.0,0.0,2.0,36.0,1.0,1.0,1.0,0.0,0.0,6.0,,,1.0,0.0,2.0,0.259,0.48,0.384,0.374,0.38,0.221,71.4,22.8,14.3,9.9,41.4,28.7,7.4,2.0,12.0,-5.8,58.4,32.3,88.7,17.8,28.2,7.7,35.9,78.120667,94.347343846,31.3,46.9
Hunter Harvey,30,KCR,AL,0.7,1,0,1.0,0.0,12,0,1,0,0,0,10.2,6,0,0,0,1,0,11,0,0,0,39,,1.35,0.656,5.1,0.0,0.8,9.3,11.0,nan,harvehu01,640451.0,2023.0,28.0,33.0,33.58,137.2,125.2,28.4,17.8,7.0,0.8,2.8,36.8,9.0,25.44,6.26,0.2192,0.344,0.2706,0.6146,0.1248,0.2806,11.8,13.0,2.2,1.8,102.0,1.8,1.8,1.2,0.2,0.0,2.786,,,4.8,0.0,19.8,0.228,0.357,0.2666,0.28,0.2806,0.1294,71.3,21.0333333333,12.5,9.26666666667,33.4666666667,24.8,7.2,5.66666666667,8.66666666667,2.16666666667,48.9333333333,31.3666666667,90.66,11.3,31.26,6.0,42.98,81.2388010312,94.539914853,24.66,50.3
Rich Hill*,45,KCR,AL,-0.1,0,2,0.0,5.0,2,2,0,0,0,0,9.0,9,7,5,2,8,0,4,0,0,0,43,85.0,7.8,1.889,9.0,2.0,8.0,4.0,0.5,nan,hillri01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Richards,32,KCR,AL,-0.1,0,0,,12.0,3,0,2,0,0,0,3.0,7,4,4,0,2,0,2,0,0,3,18,38.0,3.8,3.0,21.0,0.0,6.0,6.0,1.0,nan,richatr01,670950.0,2023.0,30.0,46.2,54.12,230.6,200.6,43.0,27.0,7.2,0.6,8.2,66.4,25.8,26.64,10.38,0.2536,0.4024,0.3312,0.7336,0.1488,0.3146,28.2,29.8,0.4,2.2,163.2,2.8,1.4,6.6,0.0,0.0,5.256,,,2.6,0.0,26.0,0.222,0.3786,0.3194,0.3042,0.307,0.157,70.6333333333,17.2333333333,10.5,7.9,35.2,26.7666666667,7.4,6.0,11.9666666667,-4.63333333333,48.7333333333,30.8333333333,88.34,17.96,39.72,7.9,36.78,77.9999899162,93.6420136704,29.8,46.76
Luke Maile,34,KCR,AL,0.0,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,6.14,1.0,0.0,0.0,9.0,0.0,0.0,nan,mailelu01,571912.0,2022.5,31.5,2.0,2.1,11.5,11.0,4.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.3765,0.912,0.3665,1.2785,0.5355,0.272,3.5,3.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.865,,,0.0,0.0,0.5,0.234,0.5755,0.5185,0.337,0.2315,0.3415,73.4,33.3,31.3,27.8,40.6,36.1,7.2,0.0,12.1,-3.3,36.1,31.3,87.55,15.3,16.65,15.55,37.8,80.262672222,92.820881111,14.1,58.25
