Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Player-additional.1,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
John Rave*,27,KCR,AL,0.1,72,175,153,18,30,5,0,4,14,7,2,18,46,0.196,0.283,0.307,0.59,66.0,0.266,61.0,47,1,1,2,1,0,978/HD,nan,ravejo01,ravejo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Canha,36,KCR,AL,-1.0,46,125,113,9,24,3,0,1,6,0,1,7,24,0.212,0.272,0.265,0.537,52.0,0.237,46.0,30,1,3,0,2,0,7H9/D3,nan,canhama01,canhama01,592192.0,2023.0,34.0,384.4,452.2,95.2,65.6,18.8,1.0,9.8,84.8,46.4,18.8,9.5,0.2426,0.3602,0.3392,0.6994,0.1176,0.286,46.4,157.6,145.4,1.0,6.6,0.2284,0.352,0.3126,0.3088,0.3304,0.1236,68.3,4.8,10.4666666667,8.4,35.2666666667,28.5,7.3,9.33333333333,11.6333333333,-1.0,56.3333333333,31.6666666667,87.58,13.4,31.2,4.44
Hunter Renfroe,33,KCR,AL,-1.5,35,108,99,5,18,6,0,0,4,0,0,8,21,0.182,0.241,0.242,0.483,37.0,0.216,28.0,24,4,0,0,1,0,9/HD,nan,renfrhu01,renfrhu01,592669.0,2023.0,31.0,395.4,434.8,95.6,54.2,22.2,0.2,19.0,96.2,34.2,21.58,7.82,0.2316,0.4086,0.293,0.7016,0.177,0.2634,56.8,176.8,175.2,0.8,0.6,0.2246,0.4026,0.304,0.3032,0.2886,0.178,74.8,48.4,13.3666666667,10.4666666667,28.5666666667,22.3,7.7,4.33333333333,8.96666666667,-8.7,62.8333333333,26.0666666667,89.18,16.4,29.36,8.86
Cavan Biggio*,30,KCR,AL,-0.2,37,83,69,9,12,2,0,1,4,1,0,11,21,0.174,0.296,0.246,0.543,55.0,0.259,56.0,17,0,1,2,0,0,HD/93745,nan,biggica01,biggica01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Jensen*,21,KCR,AL,0.8,20,69,60,12,18,6,0,3,13,0,0,9,12,0.3,0.391,0.55,0.941,161.0,0.399,162.0,33,1,0,0,0,0,2D/H,nan,jenseca01,jenseca01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJ Melendez*,26,KCR,AL,-0.6,23,65,60,5,5,2,0,1,1,0,0,3,23,0.083,0.154,0.167,0.321,-10.0,0.15,-20.0,10,0,2,0,0,0,7/9HD,nan,melenmj01,melenmj01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Tolbert,27,KCR,AL,0.2,64,57,50,19,14,2,0,1,6,21,2,1,11,0.28,0.321,0.38,0.701,96.0,0.392,105.0,19,1,3,1,2,0,H87/4695D,nan,tolbety01,tolbety01,686475.0,2025.0,27.0,50.0,57.0,14.0,11.0,2.0,0.0,1.0,11.0,1.0,19.3,1.8,0.28,0.38,0.321,0.701,0.1,0.325,6.0,27.0,19.0,2.0,21.0,0.26,0.343,0.305,0.313,0.318,0.083,69.7,5.6,9.2,6.7,40.0,28.9,6.9,0.0,10.3,-9.9,52.2,27.5,88.3,11.3,40.5,2.4
Luke Maile,34,KCR,AL,0.0,25,54,45,6,11,2,0,1,6,1,0,7,16,0.244,0.346,0.356,0.702,98.0,0.318,99.0,16,1,0,2,0,0,2/H1,nan,mailelu01,mailelu01,571912.0,2023.0,32.0,114.0,129.4,25.2,16.8,6.0,0.0,2.4,35.6,11.2,26.96,9.28,0.2356,0.3516,0.321,0.6726,0.116,0.3194,11.8,53.6,38.4,0.2,1.0,0.217,0.3388,0.3006,0.291,0.3052,0.1224,68.2333333333,2.63333333333,13.2,10.0,32.7333333333,24.6666666667,6.66666666667,4.66666666667,12.7666666667,1.0,57.7666666667,34.2666666667,85.46,11.64,39.06,6.08
Dairon Blanco,32,KCR,AL,0.0,9,8,6,2,1,1,0,0,1,3,2,0,2,0.167,0.167,0.333,0.5,35.0,0.313,144.0,2,0,0,2,0,0,/H78,nan,blancda02,blancda02,680118.0,2023.5,30.5,122.0,135.0,31.5,20.5,5.5,2.0,3.5,32.5,9.0,24.05,6.65,0.258,0.422,0.316,0.738,0.164,0.324,15.5,57.0,51.5,6.0,27.5,0.224,0.378,0.3195,0.293,0.2845,0.1545,74.25,45.4,18.05,12.7,31.8,22.45,7.5,4.0,9.65,0.3,55.45,31.95,87.85,8.85,27.35,7.15
Luinder Avila,23,KCR,AL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,nan,avilalu02,avilalu02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Clarke,32,KCR,AL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,nan,clarkta01,clarkta01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Cruz,26,KCR,AL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,nan,cruzst01,cruzst01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Erceg*,30,KCR,AL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,nan,erceglu01,erceglu01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Estévez,32,KCR,AL,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,estevca01,estevca01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Long*,29,KCR,AL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,nan,longsa01,longsa01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Lynch IV*,28,KCR,AL,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,nan,lynchda02,lynchda02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Richards,32,KCR,AL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,nan,richatr01,richatr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Schreiber,31,KCR,AL,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,nan,schrejo01,schrejo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
